instance,num_var,velox_runtime[ms],velox_energy,dwave_energy,qpu_time[ms],velox_solution,dwave_solution
qubo-2.txt,4,56.91707,0.0,0.0,106.63268,1;1;0;1,1;1;0;1
qubo-3.txt,7,28.217485,-2.0,-2.0,88.2822,1;1;0;1;0;1;0,0;0;0;0;1;1;0
qubo-4.txt,10,37.012822,-2.0,-2.0,91.90716,1;1;0;1;0;1;0;0;0;0,0;0;0;0;1;1;0;1;0;1
qubo-5.txt,13,34.652179999999994,-4.0,-4.0,132.8262,0;0;0;0;1;1;0;1;0;1;0;1;0,0;0;0;0;1;1;0;1;0;1;0;1;0
qubo-6.txt,16,33.032199999999996,-4.0,-4.0,107.24668,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1
qubo-7.txt,19,28.300349,-6.0,-6.0,105.52596000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0
qubo-8.txt,22,27.994646000000003,-6.0,-6.0,93.27932000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1
qubo-9.txt,25,33.125873999999996,-8.0,-8.0,110.68732000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0
qubo-10.txt,28,28.402663,-8.0,-8.0,89.28532000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0
qubo-11.txt,31,28.259703000000002,-10.0,-10.0,102.55636,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0
qubo-12.txt,34,32.912173,-10.0,-9.0,151.23812,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0,0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0
qubo-13.txt,37,32.673543,-12.0,-11.0,112.53052000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0
qubo-14.txt,40,32.322238000000006,-12.0,-10.0,95.77828,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0
qubo-15.txt,43,32.587691,-14.0,-14.0,150.41852,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0
qubo-16.txt,46,28.236415,-14.0,-13.0,114.96803999999999,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0,1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1
qubo-17.txt,49,30.059444000000003,-16.0,-14.0,114.72188,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0
qubo-18.txt,52,32.627963,-16.0,-14.0,115.54068,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1,0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0
qubo-19.txt,55,35.493231,-18.0,-16.0,105.42396000000001,0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0,0;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1
qubo-20.txt,58,33.091052000000005,-18.0,-14.0,103.57996,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0,0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0
qubo-21.txt,61,27.913642,-20.0,-17.0,116.4422,1;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0,1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0
